,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90
302,Ben Godfrey,Everton ,4,360,0,0,0.22+0.22,0.04+0.04,0.06,0.01
303,Grant Hanley,Norwich ,4,359,0,0,0.05+0.05,0.07+0.07,0.01,0.02
304,Kenny McLean,Norwich ,4,360,0,0,0.08+0.08,0.00,0.02,0.00
305,Teemu Pukki,Norwich ,4,354,0,0,0.74+0.74,0.25+0.25,0.19,0.06
306,Moussa Djenepo ,Southampton,2,73,0,0,0.09+0.09,0.15+0.15,0.11,0.18
307,Ezri Konsa Ngoyo,Aston Villa ,4,322,0,0,0.06+0.06,0.07+0.07,0.02,0.02
308,Gabriel Martinelli,Arsenal ,2,7,0,0,0.45+0.45,0.00,5.80,0.00
309,Zack Steffen,Manchester City ,1,90,0,0,0.00,0.00,0.00,0.00
310,Caoimhin Kelleher,Liverpool ,1,90,0,0,0.00,0.00,0.00,0.00
311,Takehiro Tomiyasu,Arsenal ,4,360,0,0,0.01+0.01,0.04+0.04,0.00,0.01
312,Adam Idah,Norwich ,3,14,0,0,0.00,0.00,0.00,0.00
313,Marvelous Nakamba,Aston Villa ,2,109,0,0,0.00,0.00,0.00,0.00
314,Brandon Williams,Norwich ,1,43,0,0,0.00,0.01+0.01,0.00,0.02
315,Kieran Tierney,Arsenal ,2,180,0,0,0.05+0.05,0.02+0.02,0.02,0.01
316,Anthony Gordon,Everton ,4,157,0,0,0.38+0.38,0.32+0.32,0.22,0.18
317,Neco Williams,Liverpool ,1,6,0,1,0.00,0.60-0.40,0.00,8.94
318,Tyrick Mitchell,Crystal Palace ,4,360,0,1,0.00,0.61-0.39,0.00,0.15
319,Tariq Lamptey,Brighton ,3,81,0,0,0.04+0.04,0.01+0.01,0.05,0.01
320,Jeremy Ngakia,Watford ,3,197,0,0,0.00,0.10+0.10,0.00,0.05
321,Takumi Minamino,Liverpool ,1,1,0,0,0.00,0.00,0.00,0.00
322,João Pedro,Watford ,4,119,0,1,0.09+0.09,0.58-0.42,0.07,0.44
323,Tomas Soucek,West Ham ,4,350,0,1,0.76+0.76,0.33-0.67,0.20,0.09
324,Daniel Podence,Wolverhampton Wanderers ,3,35,0,1,0.10+0.10,0.74-0.26,0.26,1.90
325,Steven Bergwijn,Tottenham ,2,36,0,0,0.00,0.00,0.00,0.00
326,Josh Brownhill,Burnley ,4,360,0,0,0.09+0.09,0.25+0.25,0.02,0.06
327,Ki-Jana Hoever,Wolverhampton Wanderers ,1,6,0,0,0.00,0.00,0.00,0.00
328,Nathan Tella ,Southampton,2,77,0,0,0.00,0.00,0.00,0.00
329,Cole Palmer,Manchester City ,1,1,0,0,0.00,0.00,0.00,0.00
330,Luke Thomas,Leicester ,1,90,0,0,0.07+0.07,0.02+0.02,0.07,0.02
331,Illan Meslier,Leeds ,4,360,0,0,0.00,0.00,0.00,0.00
332,Pascal Struijk,Leeds ,4,271,0,0,0.00,0.00,0.00,0.00
333,Stuart Dallas,Leeds ,4,350,0,0,0.43+0.43,0.65+0.65,0.11,0.17
334,Kalvin Phillips,Leeds ,2,180,0,1,0.00,0.04-0.96,0.00,0.02
335,Jack Harrison,Leeds ,3,227,0,0,0.20+0.20,0.16+0.16,0.08,0.07
336,Jamie Shackleton,Leeds ,4,342,0,0,0.02+0.02,0.00,0.01,0.00
337,Fabio Silva,Wolverhampton Wanderers ,2,14,0,0,0.00,0.34+0.34,0.00,2.16
338,Joël Veltman,Brighton ,4,332,0,0,0.00,0.09+0.09,0.00,0.02
339,Liam Cooper,Leeds ,4,360,0,0,0.09+0.09,0.00,0.02,0.00
