,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90
190,Ainsley Maitland-Niles,Arsenal ,2,12,0,0,0.00,0.00,0.00,0.00
191,Trent Alexander-Arnold,Liverpool ,3,246,0,1,0.12+0.12,0.96-0.04,0.04,0.35
192,Pontus Jansson,Brentford ,4,360,0,0,1.09+1.09,0.00,0.27,0.00
193,Antonio Rüdiger,Chelsea ,3,270,0,0,0.33+0.33,0.12+0.12,0.11,0.04
194,Lucas Digne,Everton ,3,270,0,0,0.12+0.12,0.53+0.53,0.04,0.18
195,Vicente Guaita,Crystal Palace ,4,360,0,0,0.00,0.00,0.00,0.00
196,Emiliano Buendía,Aston Villa ,4,225,0,1,0.42+0.42,0.90-0.10,0.17,0.36
197,Raphael Varane,Manchester United ,2,180,0,0,0.06+0.06,0.00,0.03,0.00
198,Mateo Kovacic,Chelsea ,3,234,0,2,0.10+0.10,1.28-0.72,0.04,0.49
199,Saúl Ñíguez,Chelsea ,1,1,0,0,0.00,0.00,0.00,0.00
200,João Cancelo,Manchester City ,4,353,0,0,0.62+0.62,0.18+0.18,0.16,0.04
201,Rodri,Manchester City ,4,360,0,0,0.13+0.13,0.07+0.07,0.03,0.02
202,Aymeric Laporte,Manchester City ,4,302,0,0,0.07+0.07,0.04+0.04,0.02,0.01
203,Martin Odegaard,Arsenal ,4,180,0,0,0.03+0.03,0.18+0.18,0.02,0.09
204,Thiago Silva,Chelsea ,3,270,0,0,0.00,0.05+0.05,0.00,0.02
205,Lucas Moura,Tottenham ,4,325,0,0,0.46+0.46,0.57+0.57,0.13,0.16
206,Ricardo Pereira,Leicester ,2,180,0,0,0.17+0.17,0.03+0.03,0.09,0.01
207,Nicolas N'Koulou,Watford ,1,10,0,0,0.00,0.00,0.00,0.00
208,Fabinho,Liverpool ,1,90,0,0,0.30+0.30,0.00,0.30,0.00
209,João Moutinho,Wolverhampton Wanderers ,3,257,0,0,0.20+0.20,0.05+0.05,0.07,0.02
