,Players,Costs,Total points,Positions,PPG,Team,Points per mil,Clean name
254,Jota,8.1,94,MID,5.5,LIV,11.60,jota
130,Mount,7.7,89,MID,5.6,CHE,11.56,mount
179,Townsend,5.2,60,MID,3.8,EVE,11.54,townsend
37,Cash,5.0,57,DEF,3.2,AVL,11.40,cash
166,Keane,4.9,55,DEF,3.2,EVE,11.22,keane
322,Saint-Maximin,6.6,74,FWD,3.9,NEW,11.21,saint-maximin
93,Cucurella,5.0,56,DEF,4.0,BHA,11.20,cucurella
117,Alonso,5.7,63,DEF,4.8,CHE,11.05,alonso
239,Matip,4.9,54,DEF,3.9,LIV,11.02,matip
383,Højbjerg,5.0,55,MID,3.7,TOT,11.00,højbjerg
75,Duffy,4.1,45,DEF,3.5,BHA,10.98,duffy
82,Trossard,6.2,68,MID,4.0,BHA,10.97,trossard
331,Krul,4.5,49,GKP,2.9,NOR,10.89,krul
437,Fornals,6.0,65,MID,3.6,WHU,10.83,fornals
38,Konsa,4.9,53,DEF,3.1,AVL,10.82,konsa
197,Tielemans,6.4,69,MID,5.3,LEI,10.78,tielemans
154,Mitchell,4.5,48,DEF,2.7,CRY,10.67,mitchell
226,Meslier,4.9,52,GKP,2.9,LEE,10.61,meslier
435,Rice,5.1,54,MID,3.0,WHU,10.59,rice
170,Doucouré,5.4,57,MID,4.4,EVE,10.56,doucoure
332,Pukki,5.9,62,FWD,3.4,NOR,10.51,pukki
427,Antonio,7.7,80,FWD,4.7,WHU,10.39,antonio
144,Kouyaté,4.5,46,DEF,2.9,CRY,10.22,kouyate
385,Sánchez,4.5,46,DEF,4.6,TOT,10.22,sanchez
77,Dunk,4.9,50,DEF,3.6,BHA,10.20,dunk
167,Pickford,4.9,50,GKP,3.1,EVE,10.20,pickford
17,Martinelli,5.4,55,MID,4.6,ARS,10.19,martinelli
29,McGinn,5.9,60,MID,3.8,AVL,10.17,mcginn
32,Targett,4.7,47,DEF,2.9,AVL,10.00,targett
436,Soucek,5.7,57,MID,3.2,WHU,10.00,soucek
250,Minamino,5.1,10,MID,1.7,LIV,1.96,minamino
229,Firpo,4.7,9,DEF,0.8,LEE,1.91,firpo
206,Vestergaard,4.7,9,DEF,1.1,LEI,1.91,vestergaard
351,Walcott,5.8,11,MID,1.4,SOU,1.90,walcott
59,Forss,5.3,10,FWD,1.7,BRE,1.89,forss
337,Cantwell,5.3,10,MID,1.2,NOR,1.89,cantwell
348,Tzolis,4.8,9,MID,1.1,NOR,1.88,tzolis
60,Roerslev,4.3,8,DEF,1.1,BRE,1.86,roerslev
386,Sessegnon,4.3,8,DEF,2.7,TOT,1.86,sessegnon
