name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Mitchell,CRY,DEF,4.5,Available,540,17,0,2.8,0.7
Hughes,CRY,MID,4.8,Available,0,0,0,0.0,0.0
Olise,CRY,MID,5.4,Available,12,2,0,1.0,0.0
Ward,CRY,DEF,4.5,Available,540,15,0,2.5,0.3
Guéhi,CRY,DEF,4.5,Available,540,17,0,2.8,0.4
Andersen,CRY,DEF,4.5,Available,483,17,1,2.8,0.5
Clyne,CRY,DEF,4.4,Available,0,0,0,0.0,0.1
Hannam,CRY,DEF,4.0,Available,0,0,0,0.0,0.1
Rak-Sakyi,CRY,MID,4.5,Available,13,1,0,1.0,0.0
Street,CRY,FWD,4.5,Available,0,0,0,0.0,1.4
Banks,CRY,MID,4.5,Available,0,0,0,0.0,0.0
Matthews,CRY,GKP,4.0,Available,0,0,0,0.0,0.2
Edouard,CRY,FWD,6.5,Available,102,15,3,5.0,2.8
Delph,EVE,MID,4.4,Injured,7,1,0,1.0,0.4
Sigurdsson,EVE,MID,6.8,Available,0,0,0,0.0,0.9
Coleman,EVE,DEF,4.9,Injured,360,14,1,3.5,0.4
James,EVE,MID,6.9,NotAvail,0,0,0,0.0,0.6
Bernard,EVE,MID,5.5,NotAvail,0,0,0,0.0,0.0
Digne,EVE,DEF,5.3,Available,630,16,0,2.3,8.7
Keane,EVE,DEF,5.0,Available,630,29,3,4.1,2.9
Pickford,EVE,GKP,5.0,Available,540,21,0,3.5,5.2
Allan,EVE,MID,4.6,Available,612,24,2,3.4,6.9
André Gomes,EVE,MID,4.9,Injured,65,3,0,1.0,0.1
Doucouré,EVE,MID,5.6,Available,630,43,8,6.1,5.3
Iwobi,EVE,MID,5.9,Doubtful,284,13,0,2.2,0.2
Mina,EVE,DEF,4.9,Available,457,12,0,2.0,0.5
Davies,EVE,MID,4.9,Available,34,3,0,1.0,0.1
Calvert-Lewin,EVE,FWD,8.0,Injured,248,23,5,7.7,3.8
Holgate,EVE,DEF,4.4,Available,180,8,0,4.0,0.6
Godfrey,EVE,DEF,4.8,Available,319,10,0,2.5,0.5
Richarlison,EVE,FWD,7.4,Injured,348,16,3,4.0,4.5
Virgínia,EVE,GKP,4.0,NotAvail,0,0,0,0.0,1.3
Begović,EVE,GKP,4.0,Available,90,1,0,1.0,3.6
Townsend,EVE,MID,5.5,Available,519,43,8,6.1,4.0
Gray,EVE,MID,5.8,Available,593,36,2,5.1,19.1
Kenny,EVE,DEF,4.5,Available,10,1,0,1.0,0.1
Gordon,EVE,MID,4.5,Available,104,4,0,1.0,0.1
Gbamin,EVE,MID,4.5,Available,0,0,0,0.0,0.0
Branthwaite,EVE,DEF,4.0,Available,0,0,0,0.0,0.2
Broadhead,EVE,FWD,4.5,NotAvail,0,0,0,0.0,0.0
Kean,EVE,FWD,6.0,NotAvail,1,1,0,1.0,0.0
Nkounkou,EVE,DEF,4.0,NotAvail,0,0,0,0.0,0.0
Lonergan,EVE,GKP,4.0,Available,0,0,0,0.0,0.1
Rondón,EVE,FWD,6.0,Available,251,7,0,1.8,0.2
Simms,EVE,FWD,4.5,Available,0,0,0,0.0,0.1
Dobbin,EVE,FWD,4.5,Available,2,2,0,1.0,0.2
Whitaker,EVE,MID,4.5,Available,0,0,0,0.0,0.0
Schmeichel,LEI,GKP,5.1,Available,540,20,2,3.3,18.9
Evans,LEI,DEF,5.4,Doubtful,29,1,0,1.0,0.1
Albrighton,LEI,MID,5.4,Available,180,9,1,4.5,0.2
Mendy,LEI,MID,4.4,Doubtful,0,0,0,0.0,1.9
Ward,LEI,GKP,4.0,Available,0,0,0,0.0,5.0
Vardy,LEI,FWD,10.4,Available,530,40,8,6.7,13.2
Praet,LEI,MID,4.9,NotAvail,0,0,0,0.0,0.0
Pereira,LEI,DEF,5.5,Available,325,16,3,3.2,3.5
Amartey,LEI,DEF,4.0,Available,270,8,0,2.7,12.2
Castagne,LEI,DEF,5.3,Available,236,6,0,1.5,0.7
Tielemans,LEI,MID,6.4,Available,540,26,2,4.3,4.4
Pérez,LEI,MID,5.8,Available,100,1,0,0.5,0.1
Maddison,LEI,MID,6.7,Available,356,11,0,1.8,4.3
Iheanacho,LEI,FWD,7.0,Available,110,9,0,1.5,2.3
Choudhury,LEI,MID,4.5,Available,0,0,0,0.0,0.1
Barnes,LEI,MID,6.7,Available,452,12,0,2.0,3.9
Ndidi,LEI,MID,4.9,Doubtful,540,12,0,2.0,1.3
Söyüncü,LEI,DEF,5.0,Available,540,11,0,1.8,2.3
Justin,LEI,DEF,4.9,Injured,0,0,0,0.0,0.0
Thomas,LEI,DEF,4.5,Available,270,9,1,3.0,0.8
Fofana,LEI,DEF,4.4,Injured,0,0,0,0.0,0.3
Vestergaard,LEI,DEF,4.9,Available,268,8,0,2.0,0.9
Daka,LEI,FWD,7.1,Available,26,1,0,1.0,0.4
Soumaré,LEI,MID,4.8,Available,172,6,0,1.5,0.1
Bertrand,LEI,DEF,4.9,Available,247,4,0,1.3,0.6
Dewsbury-Hall,LEI,MID,4.5,Available,4,1,0,1.0,0.0
Jakupovic,LEI,GKP,4.0,Available,0,0,0,0.0,0.1
Lookman,LEI,MID,6.0,Available,139,5,1,1.7,0.1
Hernández,LEE,MID,5.5,NotAvail,0,0,0,0.0,0.0
Casilla,LEE,GKP,4.5,NotAvail,0,0,0,0.0,0.0
Cooper,LEE,DEF,4.5,Available,630,14,1,2.0,0.4
Ayling,LEE,DEF,4.5,Injured,448,12,0,2.4,7.2
Klich,LEE,MID,5.5,Available,419,21,3,4.2,0.7
Rodrigo,LEE,FWD,6.3,Available,432,8,0,1.3,1.1
Dallas,LEE,MID,5.3,Doubtful,617,18,0,2.6,7.1
Bamford,LEE,FWD,7.8,Injured,436,21,2,4.2,5.9
Llorente,LEE,DEF,4.5,Available,187,17,3,5.7,0.1
Phillips,LEE,MID,4.9,Available,540,12,0,2.0,1.9
Costa,LEE,MID,5.4,NotAvail,21,1,0,1.0,0.1
Roberts,LEE,MID,4.9,Available,167,6,0,0.9,0.1
