,Number,Players,Clean name,Influence,Creativity,Threat,ICT index,Team,Goals scored,Assists,Goals and Assists,Unnamed: 0,Player,Team,Appearances,Mins,Goals,Assists,xGoals,xAssists,xGoals per 90,xAssists per 90,Total points,Costs,PPG,Positions,Points per mil
56,209,Castagne,castagne,10.2,13.6,20.0,4.4,Leicester,0,0,0,247,Timothy Castagne,Leicester ,4,240,0,0,0.05,0.12,0.02,0.04,8.0,5.3,1.3,DEF,1.51
57,399,Sarr,sarr,3.0,8.7,31.0,4.3,Watford,4,0,4,4,Ismaila Sarr,Watford ,4,360,3,0,1.99,0.00,0.5,0.0,42.0,6.3,5.2,MID,6.67
58,370,Reguilón,reguilon,24.0,13.9,4.0,4.2,Spurs,0,2,2,282,Sergio Reguilón,Tottenham ,4,360,0,2,0.00,0.41,0.0,0.1,34.0,5.1,4.2,DEF,6.67
59,419,Benrahma,benrahma,2.6,15.3,24.0,4.2,West Ham,3,2,5,45,Said Benrahma,West Ham ,4,358,1,0,0.61,1.25,0.15,0.31,47.0,6.6,5.9,MID,7.12
60,237,Alexander-Arnold,alexander-arnold,9.4,22.1,9.0,4.1,Liverpool,0,2,2,192,Trent Alexander-Arnold,Liverpool ,2,156,0,0,0.18,0.06,0.1,0.04,41.0,7.5,6.8,DEF,5.47
61,43,Buendía,buendia,6.0,27.8,7.0,4.1,Aston Villa,1,0,1,196,Emiliano Buendía,Aston Villa ,3,105,0,0,0.09,0.38,0.08,0.33,19.0,6.3,3.2,MID,3.02
62,105,Barnes,barnes,2.0,1.3,38.0,4.1,Burnley,0,1,1,214,Ashley Barnes,Burnley ,4,106,0,0,0.29,0.00,0.25,0.0,9.0,5.3,1.1,FWD,1.7
63,319,Hanley,hanley,19.8,0.6,21.0,4.1,Norwich,0,0,0,299,Grant Hanley,Norwich ,4,360,0,0,0.05,0.05,0.01,0.01,18.0,4.4,2.2,DEF,4.09
64,422,Soucek,soucek,17.8,18.9,4.0,4.1,West Ham,1,1,2,326,Tomas Soucek,West Ham ,4,350,0,1,0.07,0.24,0.02,0.06,30.0,5.9,3.8,MID,5.08
65,118,McNeil,mcneil,11.6,29.7,0.0,4.1,Burnley,0,0,0,267,Dwight McNeil,Burnley ,4,360,0,0,0.12,0.46,0.03,0.11,18.0,5.9,2.2,MID,3.05
66,501,Sarr,sarr,36.2,2.7,0.0,3.9,Chelsea,4,0,4,231,Malang Sarr,Chelsea ,1,90,0,0,0.00,0.00,0.0,0.0,8.0,4.9,8.0,DEF,1.63
67,456,Gibson,gibson,19.2,10.4,9.0,3.9,Norwich,0,0,0,185,Ben Gibson,Norwich ,3,270,0,0,0.58,0.02,0.19,0.01,15.0,4.4,2.5,DEF,3.41
68,354,Sissoko,sissoko,18.0,20.9,0.0,3.9,Watford,0,0,0,139,Moussa Sissoko,Watford ,4,360,0,0,0.01,0.15,0.0,0.04,11.0,4.5,1.8,MID,2.44
69,425,Johnson,johnson,18.0,16.9,4.0,3.9,West Ham,0,0,0,257,Ben Johnson,West Ham ,1,90,0,0,0.00,0.04,0.0,0.04,8.0,3.9,4.0,DEF,2.05
70,26,Martinelli,martinelli,3.0,1.1,33.0,3.7,Arsenal,0,1,1,306,Gabriel Martinelli,Arsenal ,1,6,0,0,0.45,0.00,6.77,0.0,8.0,5.2,2.7,MID,1.54
71,451,Collins,collins,24.0,10.7,2.0,3.7,Burnley,0,0,0,364,Nathan Collins,Burnley ,2,180,0,0,0.02,0.53,0.01,0.27,7.0,4.3,3.5,DEF,1.63
72,75,Moder,moder,2.0,9.6,25.0,3.7,Brighton,0,1,1,351,Jakub Moder,Brighton ,4,198,0,0,0.22,0.06,0.1,0.03,16.0,4.5,2.0,MID,3.56
73,590,Tomiyasu,tomiyasu,21.2,14.9,0.0,3.6,Arsenal,0,0,0,310,Takehiro Tomiyasu,Arsenal ,4,360,0,0,0.02,0.04,0.01,0.01,21.0,4.6,4.2,DEF,4.57
74,16,Tierney,tierney,10.2,19.5,6.0,3.6,Arsenal,0,0,0,318,Kieran Tierney,Arsenal ,4,350,0,0,0.08,0.02,0.02,0.0,24.0,4.9,3.0,DEF,4.9
75,130,Kanté,kante,9.4,23.2,2.0,3.5,Chelsea,1,0,1,29,N'Golo Kanté,Chelsea ,3,195,1,0,0.02,0.48,0.01,0.22,12.0,4.9,2.4,MID,2.45
76,162,Mitchell,mitchell,17.0,16.1,2.0,3.5,Crystal Palace,0,0,0,321,Tyrick Mitchell,Crystal Palace ,4,360,0,0,0.00,0.17,0.0,0.04,19.0,4.5,2.4,DEF,4.22
77,310,Joelinton,joelinton,8.4,17.5,8.0,3.4,Newcastle,0,1,1,77,Joelinton,Newcastle United ,4,360,0,1,0.61,0.29,0.15,0.07,15.0,5.8,1.9,FWD,2.59
78,494,Romero,romero,22.2,3.3,8.0,3.4,Spurs,0,0,0,284,Cristian Romero,Tottenham ,3,264,0,0,0.00,0.00,0.0,0.0,4.0,4.9,1.0,DEF,0.82
79,110,Lowton,lowton,19.0,15.0,0.0,3.4,Burnley,0,1,1,177,Matthew Lowton,Burnley ,4,360,0,0,0.07,0.17,0.02,0.04,18.0,4.4,2.2,DEF,4.09
80,438,Podence,podence,18.6,11.8,4.0,3.4,Wolves,0,1,1,327,Daniel Podence,Wolverhampton Wanderers ,3,100,0,1,0.00,0.77,0.0,0.69,10.0,5.5,2.0,MID,1.82
81,45,Konsa,konsa,16.4,0.6,17.0,3.4,Aston Villa,0,0,0,305,Ezri Konsa Ngoyo,Aston Villa ,4,360,0,0,0.57,0.07,0.14,0.02,24.0,4.9,3.0,DEF,4.9
82,292,Ritchie,ritchie,16.2,16.0,2.0,3.4,Newcastle,0,1,1,85,Matt Ritchie,Newcastle United ,4,360,0,0,0.14,1.03,0.03,0.26,9.0,4.9,1.1,DEF,1.84
83,234,Robertson,robertson,12.2,17.5,4.0,3.4,Liverpool,0,1,1,184,Andrew Robertson,Liverpool ,3,245,0,1,0.04,0.08,0.01,0.03,19.0,7.0,3.8,DEF,2.71
84,86,Jensen,jensen,10.8,17.2,6.0,3.4,Brentford,0,0,0,281,Mathias Jensen,Brentford ,2,152,0,0,0.13,0.04,0.08,0.02,6.0,4.9,1.5,MID,1.22
85,527,Chalobah,chalobah,26.8,6.2,0.0,3.3,Chelsea,2,0,2,56,Trevoh Chalobah,Chelsea ,2,180,1,0,0.56,0.00,0.28,0.0,38.0,4.8,7.6,DEF,7.92
86,132,Loftus-Cheek,loftus-cheek,23.8,8.8,0.0,3.3,Chelsea,0,1,1,122,Ruben Loftus-Cheek,Chelsea ,3,188,0,1,0.11,0.63,0.05,0.3,10.0,5.4,3.3,MID,1.85
87,272,Pogba,pogba,2.2,18.2,13.0,3.3,Man Utd,0,7,7,190,Paul Pogba,Manchester United ,4,274,0,0,0.65,0.35,0.21,0.11,37.0,7.6,4.6,MID,4.87
88,83,Henry,henry,13.2,19.9,0.0,3.3,Brentford,0,0,0,357,Rico Henry,Brentford ,4,348,0,0,0.01,0.13,0.0,0.03,26.0,4.5,3.2,DEF,5.78
89,315,Pukki,pukki,0.0,2.5,31.0,3.3,Norwich,2,0,2,66,Teemu Pukki,Norwich ,4,354,1,0,1.23,0.04,0.31,0.01,24.0,5.9,3.0,FWD,4.07
90,578,Cornet,cornet,7.4,1.1,23.0,3.2,Burnley,1,0,1,42,Maxwel Cornet,Burnley ,3,137,1,0,0.55,0.06,0.36,0.04,7.0,6.0,2.3,MID,1.17
91,112,Pope,pope,32.4,0.0,0.0,3.2,Burnley,0,0,0,221,Nick Pope,Burnley ,4,360,0,0,0.00,0.00,0.0,0.0,20.0,5.4,2.5,GKP,3.7
92,146,Guaita,guaita,32.0,0.0,0.0,3.2,Crystal Palace,0,0,0,195,Vicente Guaita,Crystal Palace ,4,360,0,0,0.00,0.00,0.0,0.0,28.0,4.5,3.5,GKP,6.22
93,495,Kucka,kucka,23.6,1.3,7.0,3.2,Watford,0,0,0,169,Juraj Kucka,Watford ,4,338,0,0,0.18,0.03,0.05,0.01,14.0,5.5,2.0,MID,2.55
94,207,Pereira,pereira,12.2,2.1,18.0,3.2,Leicester,0,2,2,208,Ricardo Pereira,Leicester ,3,230,0,0,0.17,0.23,0.07,0.09,17.0,5.4,2.8,DEF,3.15
95,267,Harrison,harrison,5.8,1.3,24.0,3.1,Leeds,0,0,0,338,Jack Harrison,Leeds ,2,130,0,0,0.19,0.00,0.13,0.0,11.0,5.7,1.8,MID,1.93
96,449,Rashica,rashica,4.4,24.3,2.0,3.1,Norwich,0,0,0,262,Milot Rashica,Norwich ,4,126,0,0,0.11,0.13,0.08,0.09,12.0,5.3,1.5,MID,2.26
97,98,Tarkowski,tarkowski,24.8,0.3,6.0,3.1,Burnley,1,0,1,181,James Tarkowski,Burnley ,4,360,0,0,0.06,0.00,0.01,0.0,18.0,5.0,2.2,DEF,3.6
98,197,Shackleton,shackleton,23.4,3.3,4.0,3.1,Leeds,0,1,1,339,Jamie Shackleton,Leeds ,4,271,0,0,0.02,0.01,0.01,0.0,13.0,4.5,2.2,MID,2.89
99,361,Dier,dier,12.8,0.6,18.0,3.1,Spurs,0,0,0,116,Eric Dier,Tottenham ,4,360,0,0,0.04,0.76,0.01,0.19,25.0,4.5,3.1,DEF,5.56
100,15,Partey,partey,5.8,13.7,10.0,3.0,Arsenal,0,0,0,199,Thomas Partey,Arsenal ,4,341,0,0,0.22,0.19,0.06,0.05,9.0,5.0,1.8,MID,1.8
101,133,Christensen,christensen,28.8,1.6,0.0,3.0,Chelsea,0,0,0,79,Andreas Christensen,Chelsea ,3,270,0,0,0.06,0.03,0.02,0.01,28.0,5.1,4.7,DEF,5.49
102,464,Olise,olise,19.4,10.1,0.0,3.0,Crystal Palace,1,1,2,75,Michael Olise,Crystal Palace ,3,58,1,1,0.24,0.24,0.38,0.37,13.0,5.4,3.2,MID,2.41
103,229,van Dijk,van dijk,16.8,11.2,2.0,3.0,Liverpool,0,1,1,147,Virgil van Dijk,Liverpool ,4,360,0,1,0.05,0.53,0.01,0.13,41.0,6.6,5.1,DEF,6.21
104,400,Ngakia,ngakia,15.4,14.1,0.0,3.0,Watford,0,0,0,324,Jeremy Ngakia,Watford ,3,81,0,0,0.02,0.10,0.02,0.12,5.0,4.4,1.0,DEF,1.14
105,144,Gallagher,gallagher,12.8,1.8,15.0,3.0,Crystal Palace,2,3,5,348,Conor Gallagher,Crystal Palace ,4,343,0,0,0.35,0.16,0.09,0.04,36.0,5.7,5.1,MID,6.32
106,228,Firmino,firmino,125.4,40.6,111.0,27.7,Liverpool,4,1,5,2,Roberto Firmino,Liverpool ,3,130,3,1,2.16,0.50,1.5,0.35,31.0,8.8,5.2,FWD,3.52
107,581,Normann,normann,4.0,8.1,17.0,2.9,Norwich,0,1,1,295,Mathias Normann,Norwich ,4,319,0,1,0.47,0.34,0.13,0.09,12.0,4.5,3.0,MID,2.67
108,170,Pickford,pickford,29.4,0.0,0.0,2.9,Everton,0,0,0,129,Jordan Pickford,Everton ,3,270,0,0,0.00,0.00,0.0,0.0,24.0,5.0,3.4,GKP,4.8
109,58,Burn,burn,23.4,3.9,2.0,2.9,Brighton,0,0,0,292,Dan Burn,Brighton ,4,246,0,0,0.10,0.02,0.03,0.01,13.0,4.4,3.2,DEF,2.95
110,271,Matic,matic,12.6,15.4,1.0,2.9,Man Utd,0,1,1,125,Nemanja Matic,Manchester United ,2,85,0,1,0.01,0.07,0.01,0.07,11.0,4.5,2.2,MID,2.44
111,276,Lingard,lingard,9.4,11.5,7.0,2.8,Man Utd,2,0,2,25,Jesse Lingard,Manchester United ,2,21,1,0,0.08,0.07,0.35,0.3,15.0,6.9,3.8,MID,2.17
112,125,Kovacic,kovacic,6.4,10.5,11.0,2.8,Chelsea,1,3,4,198,Mateo Kovacic,Chelsea ,4,324,0,1,0.71,0.46,0.2,0.13,35.0,5.3,4.4,MID,6.6
113,96,Mbeumo,mbeumo,6.0,8.3,14.0,2.8,Brentford,2,0,2,12,Bryan Mbeumo,Brentford ,4,357,2,0,2.54,0.12,0.64,0.03,29.0,5.6,3.6,MID,5.18
114,439,Kilman,kilman,10.4,1.4,16.0,2.8,Wolves,0,0,0,289,Max Kilman,Wolverhampton Wanderers ,4,360,0,0,0.35,0.01,0.09,0.0,21.0,4.5,2.6,DEF,4.67
115,200,Schmeichel,schmeichel,26.8,0.0,0.0,2.7,Leicester,0,0,0,131,Kasper Schmeichel,Leicester ,4,360,0,0,0.00,0.00,0.0,0.0,23.0,5.0,2.9,GKP,4.6
116,39,Targett,targett,11.0,11.8,4.0,2.7,Aston Villa,0,1,1,153,Matt Targett,Aston Villa ,4,333,0,1,0.55,0.86,0.15,0.23,17.0,4.8,2.4,DEF,3.54
117,88,Forss,forss,0.6,0.3,26.0,2.7,Brentford,0,0,0,360,Marcus Forss,Brentford ,1,20,0,0,0.11,0.00,0.51,0.0,2.0,5.3,1.0,FWD,0.38
118,437,Semedo,semedo,5.2,14.5,6.0,2.6,Wolves,0,0,0,248,Nélson Semedo,Wolverhampton Wanderers ,4,353,0,0,0.13,0.05,0.03,0.01,20.0,4.9,2.9,DEF,4.08
119,475,Sá,sa,26.4,0.0,0.0,2.6,Wolves,0,1,1,366,José Sá,Wolverhampton Wanderers ,4,360,0,1,0.00,0.33,0.0,0.08,32.0,5.0,4.0,GKP,6.4
120,169,Keane,keane,26.2,0.1,0.0,2.6,Everton,1,0,1,178,Michael Keane,Everton ,4,360,0,0,0.31,0.76,0.08,0.19,31.0,5.0,3.9,DEF,6.2
121,293,Clark,clark,21.8,0.2,4.0,2.6,Newcastle,0,0,0,152,Ciaran Clark,Newcastle United ,4,360,0,0,0.73,0.00,0.18,0.0,5.0,4.4,0.8,DEF,1.14
122,171,Allan,allan,20.2,5.3,0.0,2.6,Everton,0,2,2,172,Allan,Everton ,4,345,0,0,0.00,0.00,0.0,0.0,26.0,4.6,3.2,MID,5.65
123,56,Duffy,duffy,19.2,1.1,6.0,2.6,Brighton,1,1,2,239,Shane Duffy,Brighton ,4,360,0,0,0.25,0.02,0.06,0.0,40.0,4.4,5.0,DEF,9.09
124,186,Klich,klich,9.6,13.0,2.0,2.5,Leeds,1,1,2,211,Mateusz Klich,Leeds ,4,347,0,1,0.82,0.38,0.21,0.1,23.0,5.5,3.8,MID,4.18
125,529,Lukaku,lukaku,3.6,12.8,9.0,2.5,Chelsea,3,0,3,105,Romelu Lukaku,Chelsea ,4,350,0,0,1.15,1.31,0.3,0.34,31.0,11.6,4.4,FWD,2.67
126,38,Mings,mings,22.6,0.1,2.0,2.5,Aston Villa,0,2,2,165,Tyrone Mings,Aston Villa ,4,360,0,0,0.11,0.07,0.03,0.02,29.0,5.0,4.1,DEF,5.8
127,258,Aké,ake,14.4,10.8,0.0,2.5,Man City,0,0,0,99,Nathan Aké,Manchester City ,2,180,0,0,0.00,0.00,0.0,0.0,14.0,4.9,4.7,DEF,2.86
128,50,Douglas Luiz,douglas luiz,12.4,11.9,1.0,2.5,Aston Villa,0,2,2,246,Douglas Luiz,Aston Villa ,4,341,0,2,0.11,0.96,0.03,0.25,24.0,4.6,3.4,MID,5.22
129,148,McArthur,mcarthur,12.4,12.7,0.0,2.5,Crystal Palace,0,1,1,111,James McArthur,Crystal Palace ,4,336,0,0,0.02,0.16,0.01,0.04,19.0,4.5,2.4,MID,4.22
130,377,Rose,rose,23.4,0.3,0.0,2.4,Watford,0,0,0,115,Danny Rose,Watford ,4,360,0,0,0.01,0.40,0.0,0.1,5.0,4.3,1.0,DEF,1.16
