,Players,Costs,Total points,Positions,PPG,Team,Points per mil,Clean name
137,Greenwood,7.2,52,MID,4.0,MUN,7.22,greenwood
7,Tavares,4.3,31,DEF,2.4,ARS,7.21,tavares
104,Manquillo,3.9,28,DEF,2.3,NEW,7.18,manquillo
99,James,6.0,43,MID,2.7,LEE,7.17,james
150,McLean,4.9,35,MID,2.1,NOR,7.14,mclean
30,Lamptey,4.5,32,DEF,3.2,BHA,7.11,lamptey
159,Romeu,4.5,32,MID,1.9,SOU,7.11,romeu
15,Buendía,6.2,44,MID,2.8,AVL,7.10,buendia
121,Sterling,10.6,75,MID,4.7,MCI,7.08,sterling
34,Mee,4.8,34,DEF,3.1,BUR,7.08,mee
97,Lindelöf,4.8,34,DEF,2.6,MUN,7.08,lindelof
50,Adams,6.8,48,FWD,3.7,SOU,7.06,adams
167,Elyounoussi,5.4,38,MID,2.7,SOU,7.04,elyounoussi
94,Maguire,5.4,38,DEF,2.5,MUN,7.04,maguire
151,Johnson,4.0,28,DEF,3.1,WHU,7.00,johnson
23,Janelt,5.0,35,MID,2.7,BRE,7.00,janelt
43,Westwood,5.3,37,MID,2.8,BUR,6.98,westwood
57,Hudson-Odoi,5.3,37,MID,3.7,CHE,6.98,hudson-odoi
133,Emerson Royal,4.9,34,DEF,2.8,TOT,6.94,emerson royal
130,Tanganga,4.2,29,DEF,3.2,TOT,6.90,tanganga
30,Foster,4.1,28,GKP,3.5,WAT,6.83,foster
178,Sissoko,4.4,30,MID,2.1,WAT,6.82,sissoko
144,Murphy,4.7,32,MID,2.0,NEW,6.81,murphy
21,Ayew,5.8,39,FWD,2.3,CRY,6.72,ayew
68,Söyüncü,4.9,32,DEF,2.0,LEI,6.53,soyuncu
117,Grealish,7.6,49,MID,3.8,MCI,6.45,grealish
175,Skipp,4.5,29,MID,1.9,TOT,6.44,skipp
147,S.Longstaff,4.5,29,MID,2.2,NEW,6.44,s.longstaff
126,Davies,4.5,29,DEF,4.1,TOT,6.44,davies
197,Traoré,5.6,36,MID,2.1,WOL,6.43,traore
112,Keita,5.0,32,MID,3.6,LIV,6.40,keita
14,Young,4.7,30,DEF,2.5,AVL,6.38,young
46,Joelinton,5.8,37,FWD,2.1,NEW,6.38,joelinton
149,Coufal,4.7,30,DEF,2.0,WHU,6.38,coufal
46,McNeil,5.7,36,MID,2.4,BUR,6.32,mcneil
16,Wood,6.7,42,FWD,2.8,BUR,6.27,wood
95,Roberts,4.8,30,MID,1.7,LEE,6.25,roberts
31,Iheanacho,6.9,43,FWD,3.3,LEI,6.23,iheanacho
145,Hayden,4.5,28,MID,2.0,NEW,6.22,hayden
35,Bissouma,4.4,27,MID,2.2,BHA,6.14,bissouma
52,Kanté,4.9,30,MID,3.0,CHE,6.12,kante
146,Dawson,4.9,30,DEF,2.0,WHU,6.12,dawson
133,Fernandes,11.6,71,MID,4.2,MUN,6.12,fernandes
109,Fabinho,5.4,33,MID,2.8,LIV,6.11,fabinho
45,Brownhill,4.3,26,MID,1.7,BUR,6.05,brownhill
88,Stones,5.3,32,DEF,5.3,MCI,6.04,stones
58,Havertz,7.8,47,MID,3.4,CHE,6.03,havertz
143,Zouma,5.4,32,DEF,2.9,WHU,5.93,zouma
106,Thiago,5.3,31,MID,2.8,LIV,5.85,thiago
37,Mac Allister,5.3,31,MID,2.6,BHA,5.85,mac allister
31,Lallana,5.3,31,MID,2.1,BHA,5.85,lallana
6,Ings,7.7,45,FWD,3.5,AVL,5.84,ings
59,Cucho,5.0,29,FWD,2.4,WAT,5.80,cucho
157,Normann,4.5,26,MID,2.9,NOR,5.78,normann
92,Klich,5.2,30,MID,2.3,LEE,5.77,klich
