name,team,position,status,playing chance %,ownership %,news
Chalobah,WAT,MID,NotAvail,0,0.0,Transferred to Fulham
Chilwell,CHE,DEF,Injured,0,3.2,Knee injury - Expected back 01 Sep
Clark,NEW,DEF,NotAvail,0,0.1,Not included in Newcastle United's 25-man Premier League squad - Unknown return date
Connolly,BHA,FWD,NotAvail,0,0.1,Joined Middlesbrough on a season-long loan - Expected back 01 Jul
Conteh,WAT,MID,NotAvail,0,0.1,Joined Braintree Town on loan until the end of the season - Expected back 01 Jul
Cooper,LEE,DEF,Injured,0,0.2,Hamstring injury - Expected back 05 Mar
Costa,LEE,MID,NotAvail,0,0.0,Joined Valencia on a season-long loan - Expected back 01 Jul
Coufal,WHU,DEF,Doubtful,100,5.7,Hernia - 75% chance of playing
Coventry,WHU,MID,NotAvail,0,0.0,Joined Peterborough United on a season-long loan - Expected back 01 Jul
Cutrone,WOL,FWD,NotAvail,0,0.0,Season long loan to Empoli
Daley-Campbell,LEI,DEF,NotAvail,0,0.0,Joined Dundee on loan until the end of the season - Expected back 01 Jul
Davies,EVE,MID,NotAvail,0,0.1,Not included in Everton's 25-man Premier League squad - Unknown return date
Davies,LIV,DEF,NotAvail,0,0.1,Joined Sheffield United on a season-long loan - Expected back 01 Jul
Davis,AVL,FWD,NotAvail,0,1.8,Joined Nottingham Forest on a season-long loan - Expected back 01 Jul
Deeney,WAT,FWD,NotAvail,0,0.3,Transferred to Birmingham City
Dele-Bashiru,WAT,MID,NotAvail,0,0.0,Joined Reading on a season-long loan - Expected back 01 Jul
Delph,EVE,MID,Injured,0,0.4,Thigh injury - Expected back 12 Mar
Dervişoğlu,BRE,FWD,NotAvail,0,0.0,Season-long loan to Galatasaray
Diallo,MUN,MID,NotAvail,0,0.0,Season-long loan to Rangers
Dickson-Peters,NOR,FWD,NotAvail,0,0.0,Joined Gillingham on loan until the end of the season - Expected back 01 Jul
Doucouré,EVE,MID,Doubtful,0,1.2,Groin Injury - 75% chance of playing
Doyle,MCI,MID,NotAvail,0,0.0,Joined Hamburger on a season-long loan - Expected back 01 Jul
Drameh,LEE,DEF,NotAvail,0,0.1,Season-long loan to Cardiff City
Emerson,CHE,DEF,NotAvail,0,0.0,Joined Lyon on a season-long loan - Expected back 01 Jul
Emerson Royal,TOT,DEF,Doubtful,100,1.6,Knock - 75% chance of playing
Engels,AVL,DEF,NotAvail,0,0.0,Transferred to Royal Antwerp
Eriksen,BRE,MID,Doubtful,0,0.1,Lack of match fitness - 75% chance of playing
Etebo,WAT,MID,Doubtful,75,0.2,Lack of match fitness - 75% chance of playing
Evans,LEI,DEF,Injured,0,0.2,Hamstring injury - Expected back 19 Mar
Ferguson,CRY,DEF,Injured,0,0.0,Hamstring injury - Expected back 02 Apr
Firmino,LIV,FWD,Doubtful,100,3.4,Muscle injury - 50% chance of playing
Fofana,LEI,DEF,Injured,0,0.2,Leg injury - Expected back 01 Mar
Forss,BRE,FWD,NotAvail,0,0.1,Joined Hull City on loan until the end of the season - Expected back 01 Jul
Fosu,BRE,MID,Doubtful,25,0.0,Lack of match fitness - 75% chance of playing
Fraser,NEW,MID,Doubtful,100,0.2,Hamstring injury - 75% chance of playing
Gbamin,EVE,MID,NotAvail,100,0.0,Joined CSKA Moscow on loan until the end of the season - Expected back 01 Jul
Gibbs-White,WOL,MID,NotAvail,0,0.1,Joined Sheffield United on a season-long loan - Expected back 01 Jul
Giles,WOL,MID,NotAvail,0,0.0,Joined Blackburn Rovers on loan until the end of the season - Expected back 01 Jul
Giroud,CHE,FWD,NotAvail,0,0.0,Transferred to AC Milan
Godfrey,EVE,DEF,Injured,0,0.4,Hamstring injury - Expected back 12 Mar
Goode,BRE,DEF,NotAvail,0,1.3,Joined Sheffield United on loan until the end of the season - Expected back 01 Jul
Gosling,WAT,MID,NotAvail,0,0.0,Not included in Watford's 25-man Premier League squad - Unknown return date
Gray,EVE,MID,Injured,0,5.9,Hip injury - Expected back 26 Feb
Gray,WAT,FWD,NotAvail,0,0.1,Joined QPR on a season-long loan - Expected back 01 Jul
Grealish,MCI,MID,Doubtful,25,7.3,Shin injury - 25% chance of playing
Greenwood,LEE,FWD,Injured,0,1.6,Knee injury - Unknown return date
Greenwood,MUN,MID,NotAvail,0,4.3,Unavailable. - Unknown return date
Guaita,CRY,GKP,Doubtful,100,6.7,Knee injury - 75% chance of playing
Gudmundsson,BUR,MID,Injured,25,0.1,Calf injury - Unknown return date
Guendouzi,ARS,MID,NotAvail,0,0.0,Season long loan to Marseille
Guilbert,AVL,DEF,NotAvail,0,0.0,Joined Strasbourg on a season-long loan - Expected back 01 Jul
Gunnarsson,BRE,GKP,NotAvail,0,1.4,Transferred to Viking Fotballklubb
Hart,TOT,GKP,NotAvail,0,0.0,Transferred to Celtic
Hayden,NEW,MID,NotAvail,0,0.1,Not included in Newcastle United's 25-man Premier League squad - Unknown return date
Heaton,MUN,GKP,Injured,0,0.7,Knock - Unknown return date
Hein,ARS,GKP,NotAvail,0,0.4,Joined Reading on loan until the end of the season - Expected back 01 Jul
Hendrick,NEW,MID,NotAvail,0,0.0,Joined Queens Park Rangers on loan until the end of the season - Expected back 01 Jul
Hernández,LEE,MID,NotAvail,0,0.0,Left the club at the end of the 2020/21 season
Hernández,NOR,MID,NotAvail,0,0.0,Joined Middlesbrough on a season-long loan - Expected back 01 Jul
Hjelde,LEE,DEF,Injured,0,0.0,Knee injury - Expected back 12 Mar
Hourihane,AVL,MID,NotAvail,0,0.0,Joined Sheffield United on a season-long loan - Expected back 01 Jul
