,Name,Club,Pos,Status,%Owned,Price,Chgs,Unlocks,Target
220,Stansfield,Fulham,F,A,1.5,£4.5m,0,---,101879
221,Palhinha,Fulham,M,A,0.3,£5.0m,0,---,101879
222,Schmeichel,Leicester,G,A,1.9,£5.0m,0,---,101879
223,Evans,Leicester,D,A,0.2,£4.5m,0,---,101879
224,Bertrand,Leicester,D,I,0,£4.0m,0,---,101879
225,Albrighton,Leicester,M,A,0.1,£5.0m,0,---,101879
226,Mendy,Leicester,M,A,0.5,£4.5m,0,---,101879
227,Vestergaard,Leicester,D,A,12,£4.0m,0,---,101879
228,Ward,Leicester,G,A,2.1,£4.0m,0,---,101879
229,Vardy,Leicester,F,A,4.2,£9.5m,0,---,101879
230,Ricardo,Leicester,D,A,0.7,£4.5m,0,---,101879
231,Amartey,Leicester,D,A,0.3,£4.5m,0,---,101879
232,Castagne,Leicester,D,A,1.4,£4.5m,0,---,101879
233,Tielemans,Leicester,M,A,2,£6.5m,0,---,101879
234,Pérez,Leicester,M,A,0.1,£5.0m,0,---,101879
235,Maddison,Leicester,M,A,6.1,£8.0m,0,---,101879
236,Iheanacho,Leicester,F,A,0.8,£6.5m,0,---,101879
237,Choudhury,Leicester,M,A,0.2,£4.5m,0,---,101879
238,Barnes,Leicester,M,A,4.8,£7.0m,0,---,101879
239,Ndidi,Leicester,M,A,0.3,£5.0m,0,---,101879
240,Dewsbury-Hall,Leicester,M,A,1.1,£5.0m,0,---,101879
241,Söyüncü,Leicester,D,A,0.5,£4.5m,0,---,101879
242,Justin,Leicester,D,A,3.6,£4.5m,0,---,101879
243,Soumaré,Leicester,M,A,0.6,£4.5m,0,---,101879
244,Thomas,Leicester,D,A,0.1,£4.5m,0,---,101879
245,Daka,Leicester,F,A,1.4,£6.0m,0,---,101879
246,Fofana,Leicester,D,A,1.1,£4.5m,0,---,101879
247,Brunt,Leicester,D,A,0.3,£4.0m,0,---,101879
248,Cooper,Leeds,D,A,0.2,£4.5m,0,---,101879
249,Ayling,Leeds,D,I,0,£4.5m,0,---,101879
250,Klich,Leeds,M,A,0.1,£5.0m,0,---,101879
251,Forshaw,Leeds,M,A,0.3,£4.5m,0,---,101879
252,Rodrigo,Leeds,M,A,0.4,£6.0m,0,---,101879
253,Dallas,Leeds,D,I,0,£5.0m,0,---,101879
254,Bamford,Leeds,F,A,0.9,£7.5m,0,---,101879
255,Llorente,Leeds,D,A,0.2,£4.5m,0,---,101879
256,Roberts,Leeds,M,U,0,£5.0m,0,---,101879
257,Koch,Leeds,D,A,0.1,£4.5m,0,---,101879
258,James,Leeds,M,S,0,£6.0m,0,---,101879
259,Raphinha,Leeds,M,A,5.8,£7.0m,0,---,101879
260,Harrison,Leeds,M,A,1,£6.0m,0,---,101879
261,Shackleton,Leeds,M,A,0.1,£4.5m,0,---,101879
262,Struijk,Leeds,D,A,0.1,£4.5m,0,---,101879
263,Klaesson,Leeds,G,A,0.7,£4.0m,0,---,101879
264,Greenwood,Leeds,F,A,28.5,£4.5m,0,---,101879
265,Meslier,Leeds,G,A,2.7,£4.5m,0,---,101879
266,Firpo,Leeds,D,I,0.1,£4.5m,0,---,101879
267,Summerville,Leeds,M,A,0.2,£4.5m,0,---,101879
268,Bate,Leeds,M,A,0.1,£4.5m,0,---,101879
269,Gelhardt,Leeds,F,A,1,£5.5m,0,---,101879
270,Hjelde,Leeds,D,A,0.2,£4.0m,0,---,101879
271,Kristensen,Leeds,D,A,0.5,£5.0m,0,---,101879
272,Roca,Leeds,M,A,0.1,£5.0m,0,---,101879
273,Aaronson,Leeds,M,A,0.5,£5.5m,0,---,101879
274,Gyabi,Leeds,M,A,0.1,£4.5m,0,---,101879
275,Milner,Liverpool,M,A,0.6,£4.5m,0,---,101879
276,Henderson,Liverpool,M,A,0.7,£5.5m,0,---,101879
277,Matip,Liverpool,D,A,2.8,£6.0m,0,---,101879
278,Thiago,Liverpool,M,A,1.7,£5.5m,0,---,101879
279,Chamberlain,Liverpool,M,A,0,£5.0m,0,---,101879
280,Firmino,Liverpool,F,A,1.1,£8.0m,0,---,101879
281,Van Dijk,Liverpool,D,A,11.1,£6.5m,0,---,101879
282,Alisson,Liverpool,G,A,18.6,£5.5m,0,---,101879
283,Fabinho,Liverpool,M,A,0.8,£5.5m,0,---,101879
284,Salah,Liverpool,M,A,58.3,£13.0m,0,---,101879
285,Robertson,Liverpool,D,A,10.2,£7.0m,0,---,101879
286,Alexander-Arnold,Liverpool,D,A,55.2,£7.5m,0,---,101879
287,Gomez,Liverpool,D,A,0.2,£4.5m,0,---,101879
288,Keita,Liverpool,M,A,0.1,£5.0m,0,---,101879
289,Diogo Jota,Liverpool,F,A,6,£9.0m,0,---,101879
290,Kelleher,Liverpool,G,A,0.8,£4.0m,0,---,101879
291,Konaté,Liverpool,D,A,2.3,£5.0m,0,---,101879
292,Jones,Liverpool,M,A,0,£5.0m,0,---,101879
293,Tsimikas,Liverpool,D,A,0.3,£4.5m,0,---,101879
294,Luis Díaz,Liverpool,M,A,31.4,£8.0m,0,---,101879
295,Elliott,Liverpool,M,A,0.2,£5.0m,0,---,101879
296,N.Williams,Nott'm Forest,D,A,15.3,£4.0m,0,---,101879
297,Carvalho,Liverpool,M,A,0.4,£5.5m,0,---,101879
298,Darwin,Liverpool,F,A,12.1,£9.0m,0,---,101879
299,Ramsay,Liverpool,D,A,0.4,£4.0m,0,---,101879
300,Adrián,Liverpool,G,A,0.3,£4.0m,0,---,101879
301,R.Williams,Liverpool,D,A,0.2,£4.0m,0,---,101879
302,Davies,Liverpool,D,A,0.1,£4.0m,0,---,101879
303,Van den Berg,Liverpool,D,A,0.3,£4.0m,0,---,101879
304,Phillips,Liverpool,D,A,0.3,£4.0m,0,---,101879
305,Walker,Man City,D,A,4.8,£5.0m,0,---,101879
306,Gündogan,Man City,M,A,0.8,£7.5m,0,---,101879
307,De Bruyne,Man City,M,A,14.3,£12.0m,0,---,101879
308,Stones,Man City,D,A,4,£5.5m,0,---,101879
309,Mahrez,Man City,M,A,4.7,£8.0m,0,---,101879
310,Sterling,Chelsea,M,A,6.4,£10.0m,0,---,101879
311,Grealish,Man City,M,A,3,£7.0m,0,---,101879
312,Cancelo,Man City,D,A,45.6,£7.0m,0,---,101879
313,Ederson,Man City,G,A,13.7,£5.5m,0,---,101879
314,Aké,Man City,D,A,0.5,£5.0m,0,---,101879
