,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Med Cmp,Med Att,Med Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
11,Dele Alli,eng ENG,MF,Everton,25,1996,3.8,114,152,75.0,1873,511,51,67,76.1,44,52,84.6,11,18,61.1,0,0.3,-0.3,7,10,4,1,12
12,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,27,1994,19.1,406,505,80.4,6222,1461,224,254,88.2,139,169,82.2,28,46,60.9,0,0.7,-0.7,16,22,9,2,38
13,Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,1132,1456,77.7,19695,6764,556,629,88.4,448,532,84.2,108,235,46.0,4,4.6,-0.6,44,68,33,15,107
14,Steven Alzate,co COL,MF,Brighton,22,1998,4.5,207,234,88.5,3619,900,92,102,90.2,85,90,94.4,24,32,75.0,0,0.2,-0.2,3,17,3,1,17
15,Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,1353,1475,91.7,27707,7913,405,428,94.6,751,788,95.3,186,230,80.9,0,0.2,-0.2,3,55,0,0,59
16,Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,1813,2197,82.5,47245,14431,326,367,88.8,962,1034,93.0,518,779,66.5,3,1.8,+1.2,19,159,12,3,93
17,Michail Antonio,jm JAM,FW,West Ham,31,1990,33.0,466,708,65.8,7552,1461,256,333,76.9,145,213,68.1,45,84,53.6,8,6.6,+1.4,46,26,32,13,43
18,Cameron Archer,eng ENG,"MF,FW",Aston Villa,19,2001,0.3,5,5,100.0,91,28,1,1,100.0,4,4,100.0,0,0,,0,0.0,0.0,0,0,1,0,3
19,Alphonse Areola,fr FRA,GK,West Ham,28,1993,1.0,20,41,48.8,768,546,0,0,,9,9,100.0,11,32,34.4,0,0.0,0.0,0,0,0,0,0
20,Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,223,315,70.8,3764,609,106,136,77.9,96,127,75.6,16,32,50.0,2,1.7,+0.3,12,14,13,0,26
21,Stuart Armstrong,sct SCO,MF,Southampton,29,1992,16.4,583,734,79.4,9335,2293,304,366,83.1,218,254,85.8,43,69,62.3,0,1.4,-1.4,25,39,24,5,68
22,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4.0,115,139,82.7,2763,1294,28,28,100.0,59,59,100.0,27,51,52.9,0,0.0,0.0,0,1,0,0,0
23,Harrison Ashby,sct SCO,DF,West Ham,19,2001,0.1,7,8,87.5,142,18,2,2,100.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0
24,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,145,205,70.7,2016,383,94,117,80.3,40,62,64.5,8,14,57.1,1,0.8,+0.2,9,4,10,1,13
25,Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,22.4,570,745,76.5,8666,1732,326,368,88.6,197,245,80.4,33,79,41.8,3,2.3,+0.7,21,29,15,5,48
26,Luke Ayling,eng ENG,DF,Leeds United,29,1991,25.2,1218,1558,78.2,25686,10984,440,500,88.0,554,648,85.5,214,366,58.5,2,0.8,+1.2,8,99,11,4,125
27,César Azpilicueta,es ESP,DF,Chelsea,31,1989,23.0,1442,1713,84.2,24337,9312,707,779,90.8,628,709,88.6,95,176,54.0,2,2.1,-0.1,18,107,20,3,124
28,Daniel Bachmann,at AUT,GK,Watford,27,1994,12.0,211,357,59.1,8151,5656,21,21,100.0,79,82,96.3,111,254,43.7,0,0.0,0.0,0,9,0,0,0
29,Leon Bailey,jm JAM,"FW,MF",Aston Villa,23,1997,8.5,149,224,66.5,2621,580,71,83,85.5,52,74,70.3,20,45,44.4,2,0.6,+1.4,8,4,11,3,20
30,Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,2.4,64,80,80.0,1365,459,24,26,92.3,26,30,86.7,14,22,63.6,0,0.0,0.0,0,2,0,0,3
31,Folarin Balogun,eng ENG,FW,Arsenal,20,2001,0.8,4,8,50.0,60,6,2,4,50.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,0
32,Patrick Bamford,eng ENG,FW,Leeds United,27,1993,6.2,85,103,82.5,1349,211,48,53,90.6,26,31,83.9,9,13,69.2,2,1.0,+1.0,6,6,5,2,7
33,Shandon Baptiste,gd GRN,MF,Brentford,23,1998,10.1,255,306,83.3,4371,887,126,142,88.7,94,110,85.5,27,39,69.2,1,0.5,+0.5,9,22,6,1,21
34,Ross Barkley,eng ENG,MF,Chelsea,27,1993,2.0,105,127,82.7,1714,381,59,64,92.2,30,38,78.9,12,15,80.0,0,0.7,-0.7,8,6,7,0,11
35,Ashley Barnes,eng ENG,FW,Burnley,31,1989,9.0,130,199,65.3,1877,537,79,105,75.2,37,59,62.7,9,18,50.0,0,1.6,-1.6,10,18,5,2,19
36,Harvey Barnes,eng ENG,"FW,MF",Leicester City,23,1997,23.3,557,751,74.2,8019,2337,336,405,83.0,179,245,73.1,24,53,45.3,10,4.0,+6.0,29,28,28,2,74
37,Lewis Bate,eng ENG,MF,Leeds United,18,2002,1.6,41,54,75.9,556,138,26,32,81.3,10,12,83.3,2,5,40.0,0,0.0,0.0,0,2,0,0,4
38,Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,9.3,387,500,77.4,7991,3011,130,153,85.0,188,222,84.7,65,110,59.1,0,0.4,-0.4,7,21,4,3,15
39,Jan Bednarek,pl POL,DF,Southampton,25,1996,29.2,1185,1431,82.8,24493,7355,395,434,91.0,605,674,89.8,171,295,58.0,0,0.6,-0.6,6,75,1,1,51
40,Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,25,32,78.1,385,184,14,18,77.8,8,10,80.0,2,2,100.0,0,0.5,-0.5,3,2,2,0,3
41,Donny van de Beek,nl NED,MF,Everton,24,1997,5.4,202,241,83.8,3132,897,104,118,88.1,80,88,90.9,10,23,43.5,0,0.1,-0.1,2,15,3,0,14
42,Asmir Begović,ba BIH,GK,Everton,34,1987,3.0,35,84,41.7,1599,1285,2,2,100.0,10,10,100.0,23,71,32.4,0,0.0,0.0,0,1,0,0,0
43,Saïd Benrahma,dz ALG,"FW,MF",West Ham,25,1995,24.1,625,831,75.2,9864,2270,369,428,86.2,191,252,75.8,47,94,50.0,6,3.2,+2.8,31,33,32,12,61
44,Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,15.1,905,1015,89.2,17316,3449,359,385,93.2,401,434,92.4,127,155,81.9,4,2.3,+1.7,15,81,7,2,68
45,Christian Benteke,be BEL,FW,Crystal Palace,30,1990,12.7,205,300,68.3,3169,582,117,158,74.1,60,96,62.5,19,27,70.4,1,1.1,-0.1,11,11,10,1,17
46,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,12.2,218,345,63.2,3487,903,134,165,81.2,58,89,65.2,22,63,34.9,1,0.3,+0.7,6,6,12,11,13
47,Steven Bergwijn,nl NED,"FW,MF",Tottenham,23,1997,6.3,148,178,83.1,2056,420,94,102,92.2,40,50,80.0,6,11,54.5,1,0.7,+0.3,8,8,10,0,15
48,Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,3.7,154,191,80.6,2609,1077,75,81,92.6,65,78,83.3,9,18,50.0,0,0.3,-0.3,2,11,1,0,7
49,Mads Bidstrup,dk DEN,MF,Brentford,20,2001,0.5,8,11,72.7,142,17,5,6,83.3,2,4,50.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0
50,Yves Bissouma,ml MLI,MF,Brighton,24,1996,23.5,1061,1183,89.7,19784,3639,456,499,91.4,452,486,93.0,139,170,81.8,2,0.8,+1.2,8,70,12,0,52
51,Willy Boly,ci CIV,DF,Wolves,30,1991,10.0,450,541,83.2,8974,3526,158,170,92.9,225,252,89.3,61,107,57.0,0,0.1,-0.1,1,17,0,0,15
52,Jarrod Bowen,eng ENG,FW,West Ham,24,1996,33.1,586,862,68.0,10912,2894,278,345,80.6,183,245,74.7,104,206,50.5,10,5.7,+4.3,42,28,27,5,53
