,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries	CPA,Carries Mis,Carries Dis,Receiving	Targ,Receiving Rec,Receiving Rec%,Receiving Prog
426,Allan Saint-Maximin,FRA,"FW,MF",Newcastle Utd,24,1997,31.2,1222,10,110,596,711,131,1197,140,230,60.9,150,4,1163,8055,5125,246,83,53,85,119,1302,942,72.4,138
427,Romain Saïss,MAR,DF,Wolves,31,1990,30.1,2111,303,1205,869,127,35,2061,5,8,62.5,6,1,1217,5502,2923,73,19,1,5,8,1411,1373,97.3,6
428,Bukayo Saka,ENG,"FW,MF",Arsenal,19,2001,33.1,1671,31,197,607,988,229,1583,49,100,49.0,51,7,1212,7011,4694,262,66,61,80,63,1681,1212,72.1,233
429,Mohamed Salah,EGY,FW,Liverpool,29,1992,30.7,1583,6,70,496,1110,333,1568,57,136,41.9,70,2,1231,5374,3288,213,39,71,79,84,1976,1310,66.3,367
430,Mohammed Salisu,GHA,DF,Southampton,22,1999,33.0,2244,300,1073,1090,206,34,2114,9,14,64.3,9,0,1211,7505,3499,111,18,0,8,17,1248,1214,97.3,5
431,Albert Sambi Lokonga,BEL,MF,Arsenal,21,1999,12.6,930,35,229,548,211,7,907,4,7,57.1,4,0,635,3861,2091,92,22,1,10,7,717,689,96.1,17
432,Davinson Sánchez,COL,DF,Tottenham,25,1996,18.1,1290,138,568,685,117,22,1263,3,5,60.0,4,0,834,4031,2250,103,22,0,3,10,923,896,97.1,5
433,Robert Sánchez,ESP,GK,Brighton,23,1997,37.0,1597,1263,1584,15,0,0,1290,0,0,,0,0,893,4107,2426,0,0,0,0,0,914,914,100.0,0
434,Jadon Sancho,ENG,"FW,MF",Manchester Utd,21,2000,21.1,1192,18,170,517,648,116,1164,48,83,57.8,50,15,940,6057,4126,210,74,52,37,38,1139,925,81.2,142
435,Morgan Sanson,FRA,MF,Aston Villa,26,1994,4.0,219,5,46,137,56,3,218,6,7,85.7,6,0,163,1064,546,27,7,1,5,11,162,139,85.8,7
436,Samir Santos,BRA,DF,Watford,26,1994,18.6,856,118,552,333,22,11,843,0,1,0.0,0,1,455,2214,1023,16,2,1,2,4,451,444,98.4,1
