,Players,Costs,Total points,Positions,PPG,Team,Points per mil,Clean name
22,Traoré,5.7,10,MID,1.7,AVL,1.75,traore
408,Etebo,4.3,7,MID,1.2,WAT,1.63,etebo
23,Sanson,5.0,8,MID,1.3,AVL,1.60,sanson
265,Steffen,4.4,7,GKP,7.0,MCI,1.59,steffen
310,Dummett,4.5,7,DEF,2.3,NEW,1.56,dummett
253,Luis Díaz,8.0,12,MID,6.0,LIV,1.50,luis diaz
20,Chambers,4.2,6,DEF,1.2,AVL,1.43,chambers
153,Delph,4.3,6,MID,1.0,EVE,1.40,delph
211,Koch,4.3,6,DEF,0.8,LEE,1.40,koch
51,Sørensen,4.3,6,DEF,1.2,BRE,1.40,sørensen
108,Barkley,5.2,7,MID,1.4,CHE,1.35,barkley
243,Gomez,4.7,6,DEF,1.2,LIV,1.28,gomez
141,Eze,5.9,7,MID,1.2,CRY,1.19,eze
396,Kabasele,4.3,5,DEF,1.0,WAT,1.16,kabasele
402,Sierralta,4.3,5,DEF,1.0,WAT,1.16,sierralta
412,Nkoulou,4.4,5,DEF,1.7,WAT,1.14,nkoulou
220,Summerville,4.5,5,MID,1.0,LEE,1.11,summerville
9,Nketiah,5.4,6,FWD,1.0,ARS,1.11,nketiah
127,Saúl,4.9,5,MID,0.8,CHE,1.02,saul
222,Cresswell,4.0,4,DEF,1.0,LEE,1.00,cresswell
149,Clyne,4.3,4,DEF,1.3,CRY,0.93,clyne
345,Rowe,4.4,4,MID,1.0,NOR,0.91,rowe
190,Choudhury,4.4,4,MID,1.0,LEI,0.91,choudhury
456,Cundle,4.4,4,MID,2.0,WOL,0.91,cundle
0,Leno,4.5,4,GKP,1.3,ARS,0.89,leno
99,Hennessey,4.5,4,GKP,2.0,BUR,0.89,hennessey
199,Bertrand,4.6,4,DEF,1.0,LEI,0.87,bertrand
139,Riedewald,4.7,4,MID,1.3,CRY,0.85,riedewald
194,Justin,4.9,4,DEF,1.0,LEI,0.82,justin
390,Bentancur,5.0,4,MID,1.3,TOT,0.80,bentancur
309,Gayle,5.2,4,FWD,1.0,NEW,0.77,gayle
45,Dasilva,5.3,4,MID,1.3,BRE,0.75,dasilva
424,Fredericks,4.4,3,DEF,0.8,WHU,0.68,fredericks
86,Stephens,4.4,3,MID,1.5,BUR,0.68,stephens
458,Toti,4.5,3,DEF,1.5,WOL,0.67,toti
177,Onyango,4.5,3,MID,1.0,EVE,0.67,onyango
401,Fletcher,4.8,3,FWD,1.0,WAT,0.62,fletcher
321,Bruno Guimarães,5.0,3,MID,1.0,NEW,0.60,bruno guimaraes
