,name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
398,McKenna,NFO,DEF,4.5,Available,0,0,0,0.0,0.3
399,Dräger,NFO,DEF,4.0,Available,0,0,0,0.0,1.3
400,Yates,NFO,MID,5.0,Doubtful,0,0,0,0.0,0.4
401,Worrall,NFO,DEF,4.5,Available,0,0,0,0.0,0.2
402,Panzo,NFO,DEF,4.0,Available,0,0,0,0.0,0.6
403,Xande Silva,NFO,MID,5.0,Available,0,0,0,0.0,0.1
404,Surridge,NFO,FWD,5.0,Available,0,0,0,0.0,1.9
405,Laryea,NFO,DEF,4.5,Available,0,0,0,0.0,0.1
406,Mbe Soh,NFO,DEF,4.5,Available,0,0,0,0.0,0.1
407,Johnson,NFO,FWD,6.0,Available,0,0,0,0.0,4.3
408,Mighten,NFO,MID,5.0,Available,0,0,0,0.0,0.1
409,Ojeda,NFO,MID,4.5,Available,0,0,0,0.0,0.2
410,Awoniyi,NFO,FWD,6.0,Available,0,0,0,0.0,2.0
411,Henderson,NFO,GKP,4.5,Available,0,0,0,0.0,7.5
412,Biancone,NFO,DEF,4.5,Available,0,0,0,0.0,0.2
413,Niakhaté,NFO,DEF,4.5,Available,0,0,0,0.0,0.3
414,Richards,NFO,DEF,4.5,Available,0,0,0,0.0,0.1
415,Lavia,SOU,MID,4.5,Available,0,0,0,0.0,0.4
416,Walcott,SOU,MID,5.0,Available,376,12,0,1.3,0.1
417,McCarthy,SOU,GKP,4.5,Available,1530,55,3,3.2,0.4
418,Romeu,SOU,MID,5.0,Available,2890,88,6,2.4,0.1
419,Redmond,SOU,MID,5.5,Available,1827,79,6,2.9,0.1
420,Stephens,SOU,DEF,4.5,Available,810,12,0,1.1,0.1
421,S.Armstrong,SOU,MID,5.0,Available,1465,57,3,2.3,0.2
422,Elyounoussi,SOU,MID,5.5,Available,2039,90,6,3.0,0.1
423,Ward-Prowse,SOU,MID,6.5,Available,3215,159,21,4.4,10.3
424,A.Armstrong,SOU,FWD,5.5,Available,1409,57,3,2.5,0.8
425,Walker-Peters,SOU,DEF,4.5,Available,2630,82,7,2.6,1.3
426,Bednarek,SOU,DEF,4.5,Available,2629,94,15,3.0,0.5
427,Adams,SOU,FWD,6.5,Available,2034,103,11,3.4,0.8
428,Tella,SOU,MID,5.0,Available,802,29,0,2.1,0.0
429,Lyanco,SOU,DEF,4.5,Available,906,19,1,1.3,0.1
430,Valery,SOU,DEF,4.0,Available,369,9,0,1.8,1.1
431,Smallbone,SOU,MID,4.5,Available,132,5,0,1.2,0.2
432,Diallo,SOU,MID,4.5,Available,1016,44,3,1.9,1.3
433,Perraud,SOU,DEF,4.5,Available,1621,38,1,1.9,0.1
434,Djenepo,SOU,MID,5.0,Available,452,13,0,1.1,0.0
435,Livramento,SOU,DEF,4.5,Injured,2200,80,7,2.9,0.1
436,Salisu,SOU,DEF,4.5,Available,2971,58,4,1.7,0.2
437,Lis,SOU,GKP,4.0,Available,0,0,0,0.0,0.6
438,Bazunu,SOU,GKP,4.5,Available,0,0,0,0.0,1.4
439,Bella-Kotchap,SOU,DEF,4.5,Available,0,0,0,0.0,0.1
440,Caballero,SOU,GKP,4.0,Available,180,2,0,1.0,2.4
441,Aribo,SOU,MID,5.5,Available,0,0,0,0.0,0.2
442,Lloris,TOT,GKP,5.5,Available,3420,158,11,4.2,4.6
443,Forster,TOT,GKP,4.0,Available,1710,57,6,3.0,11.0
444,Kane,TOT,FWD,11.5,Available,3231,192,23,5.2,16.4
445,Son,TOT,MID,12.0,Available,3009,258,27,7.4,26.0
446,Doherty,TOT,DEF,5.0,Available,871,67,8,4.5,2.0
447,Dier,TOT,DEF,5.0,Available,3071,132,7,3.8,2.4
448,Lucas Moura,TOT,MID,6.0,Available,1763,87,4,2.6,0.3
449,Davies,TOT,DEF,5.0,Available,2537,105,3,3.6,0.6
450,Højbjerg,TOT,MID,5.5,Available,3196,109,6,3.0,0.8
451,Winks,TOT,MID,4.5,Available,904,33,1,1.7,2.4
452,Sánchez,TOT,DEF,4.5,Available,1626,93,8,4.0,0.6
453,R.Sessegnon,TOT,DEF,4.5,Available,1046,56,3,3.7,0.5
454,Bergwijn,TOT,MID,5.5,NotAvail,548,55,3,2.2,0.1
455,Reguilón,TOT,DEF,4.5,Available,1914,104,9,4.2,3.2
456,Tanganga,TOT,DEF,4.0,Available,735,29,0,2.6,5.0
457,Bentancur,TOT,MID,5.5,Available,1360,52,4,3.1,0.5
458,Skipp,TOT,MID,4.5,Available,1346,34,0,1.9,0.5
459,Rodon,TOT,DEF,4.0,Available,87,3,0,1.0,0.5
460,Romero,TOT,DEF,5.0,Available,1844,63,10,2.9,2.8
461,Bissouma,TOT,MID,5.0,Available,2110,66,9,2.5,1.9
462,Emerson Royal,TOT,DEF,5.0,Available,2282,102,8,3.3,0.7
463,Kulusevski,TOT,MID,8.0,Available,1259,99,8,5.5,10.9
464,Scarlett,TOT,FWD,4.5,Available,3,1,0,1.0,0.8
465,Perišić,TOT,DEF,5.5,Available,0,0,0,0.0,44.6
466,White,TOT,MID,4.5,Available,0,0,0,0.0,0.3
467,Sarr,TOT,MID,4.5,Available,0,0,0,0.0,0.4
468,Austin,TOT,GKP,4.0,Available,0,0,0,0.0,0.3
469,Devine,TOT,MID,4.5,Available,0,0,0,0.0,0.1
470,Parrott,TOT,FWD,4.5,Available,0,0,0,0.0,1.2
471,Richarlison,TOT,FWD,8.5,Suspended,2522,125,19,4.2,0.5
472,Lenglet,TOT,DEF,5.0,Available,0,0,0,0.0,0.2
473,Fabianski,WHU,GKP,5.0,Available,3330,136,9,3.7,1.1
474,Ogbonna,WHU,DEF,4.5,Available,921,40,6,3.6,0.1
475,Cresswell,WHU,DEF,5.0,Available,2726,115,17,3.7,3.6
476,Antonio,WHU,FWD,7.5,Available,2975,140,14,3.9,4.2
477,Dawson,WHU,DEF,5.0,Available,2752,90,1,2.6,0.5
478,Lanzini,WHU,MID,5.5,Available,1777,92,8,3.1,0.4
479,Zouma,WHU,DEF,4.5,Available,2078,66,5,2.8,1.2
480,Masuaku,WHU,DEF,4.5,Available,645,29,3,2.2,0.1
481,Coufal,WHU,DEF,4.5,Available,2207,70,3,2.5,2.2
482,Benrahma,WHU,MID,6.0,Available,2162,138,15,4.3,3.0
483,Bowen,WHU,MID,8.5,Available,2987,206,24,5.7,9.9
484,Vlasic,WHU,MID,5.0,Available,549,30,0,1.6,0.1
485,Rice,WHU,MID,5.0,Available,3178,95,7,2.6,6.3
486,Soucek,WHU,MID,5.5,Available,3061,114,14,3.3,1.9
487,Fornals,WHU,MID,5.5,Available,2795,117,5,3.2,2.2
488,Diop,WHU,DEF,4.5,Available,961,30,2,2.3,0.2
489,Johnson,WHU,DEF,4.5,Available,1397,48,1,2.4,0.1
490,Aguerd,WHU,DEF,5.0,Available,0,0,0,0.0,0.5
491,Areola,WHU,GKP,4.5,Available,90,2,0,2.0,1.6
492,Downes,WHU,MID,4.5,Available,0,0,0,0.0,0.3
493,Boly,WOL,DEF,4.5,Available,900,17,0,1.7,0.3
494,Coady,WOL,DEF,5.0,Available,3361,138,10,3.6,4.8
495,Jiménez,WOL,FWD,7.0,Available,2630,101,11,3.0,2.3
496,Jonny,WOL,DEF,4.5,Available,1022,38,2,2.9,1.4
497,Sá,WOL,GKP,5.0,Available,3285,146,11,3.9,5.0
498,Dendoncker,WOL,MID,5.0,Available,1945,76,5,2.5,0.2
499,Neves,WOL,MID,5.5,Available,2659,95,7,2.9,1.4
500,Hwang,WOL,MID,6.0,Available,1811,81,11,2.7,0.5
501,Semedo,WOL,DEF,5.0,Doubtful,2131,94,9,3.8,0.0
502,Podence,WOL,MID,5.5,Available,1475,70,2,2.7,0.4
503,Kilman,WOL,DEF,4.5,Doubtful,2688,106,5,3.5,0.1
504,Cundle,WOL,MID,4.5,Available,179,7,0,1.8,0.5
505,Neto,WOL,MID,5.5,Available,459,22,0,1.7,22.3
506,Aït-Nouri,WOL,DEF,4.5,Available,1826,87,10,3.8,3.1
507,Fabio Silva,WOL,FWD,5.5,Available,562,30,0,1.4,0.6
508,Toti,WOL,DEF,4.0,Available,360,6,0,1.5,0.9
509,Chiquinho,WOL,MID,5.0,Injured,203,20,2,2.5,0.0
510,Adama,WOL,MID,5.5,Available,1069,44,0,2.2,0.6
511,Šarkić,WOL,GKP,4.0,Available,0,0,0,0.0,3.1
512,Gibbs-White,WOL,MID,5.5,Available,7,1,0,0.5,0.3
513,Mosquera,WOL,DEF,4.0,Available,0,0,0,0.0,1.1
514,Moutinho,WOL,MID,5.0,Available,2970,96,8,2.7,2.0
515,Collins,WOL,DEF,4.5,Available,1670,55,1,2.9,0.0
